Station.Name,Dates,Province,ID,Parameter,Latitude,Longitude,Area_km2
TSITIKA RIVER BELOW CATHERINE CREEK,1974-2022,BC,08HF004,Flow and Level,"50°26'25"" N","126°34'42"" W",365
TULAMEEN RIVER AT PRINCETON,1950-2021,BC,08NL024,Flow and Level,"49°27'27"" N","120°31'06"" W","1,780"
TULAMEEN RIVER BELOW VUICH CREEK,1974-2021,BC,08NL071,Flow and Level,"49°27'56"" N","120°58'44"" W",253
TURNAGAIN RIVER ABOVE SANDPILE CREEK,1967-1993,BC,10BA001,Flow,"59°03'52"" N","127°50'41"" W","6,580"
TUTSHI RIVER AT OUTLET OF TUTSHI LAKE,1956-2019,BC,09AA013,Flow and Level,"59°56'52"" N","134°19'57"" W",989
TUYA RIVER NEAR TELEGRAPH CREEK,1962-2021,BC,08CD001,Flow and Level,"58°04'20"" N","130°49'35"" W","3,550"
TWAIN CREEK TRIBUTARY NEAR BABINE LAKE,1998-2021,BC,08EC014,Flow and Level,"54°33'34"" N","125°54'52"" W",
TWO FORTY CREEK NEAR PENTICTON,1983-2021,BC,08NM240,Flow and Level,"49°39'03"" N","119°24'00"" W",4.94
TWO FORTY-ONE CREEK NEAR PENTICTON,1983-2019,BC,08NM241,Flow and Level,"49°39'00"" N","119°23'37"" W",4.5
TWO MILE CREEK IN DISTRICT LOT 4834,1982-2021,BC,08EE025,Flow and Level,"55°17'46"" N","127°37'14"" W",21.2
UCONA RIVER AT THE MOUTH,1957-2014,BC,08HC002,Flow and Level,"49°42'30"" N","126°05'54"" W",187
UNUK RIVER NEAR STEWART,1960-1996,BC,08DD001,Flow,"56°21'05"" N","130°41'30"" W","1,480"
UPPER ARROW LAKE AT ARROWHEAD,1930-1968,BC,08NE038,Level,"50°41'33"" N","117°53'48"" W",
UPPER ARROW LAKE AT NAKUSP,1922-1969,BC,08NE045,Level,"50°14'12"" N","117°48'07"" W",
VAN TINE CREEK NEAR THE MOUTH,1974-2006,BC,08JA014,Flow,"53°15'48"" N","125°24'30"" W",150
VANCE CREEK BELOW DEAFIES CREEK,1970-2021,BC,08LC040,Flow and Level,"50°17'03"" N","118°56'49"" W",70.9
VASEUX CREEK ABOVE DUTTON CREEK,1919-1982,BC,08NM015,Flow,"49°15'44"" N","119°28'27"" W",255
VASEUX CREEK ABOVE SOLCO CREEK,1970-2021,BC,08NM171,Flow and Level,"49°14'57"" N","119°19'17"" W",117
VASEUX LAKE NEAR THE OUTLET,1991-2021,BC,08NM243,Level,"49°16'23"" N","119°31'31"" W",
VEDDER RIVER NEAR YARROW,1952-1995,BC,08MH047,Level,"49°05'30"" N","122°02'10"" W",
WANNOCK RIVER AT OUTLET OF OWIKENO LAKE,1927-2022,BC,08FA002,Flow and Level,"51°40'45"" N","127°10'45"" W","3,900"
WEST KETTLE RIVER BELOW CARMI CREEK,1973-1996,BC,08NN022,Flow,"49°29'03"" N","119°06'30"" W","1,170"
WEST KETTLE RIVER NEAR MCCULLOCH,1949-2020,BC,08NN015,Flow and Level,"49°42'10"" N","119°05'32"" W",233
WEST ROAD RIVER NEAR CINEMA,1952-2021,BC,08KG001,Flow and Level,"53°18'23"" N","122°53'30"" W","12,400"
WHIPSAW CREEK BELOW LAMONT CREEK,1964-1998,BC,08NL036,Flow,"49°22'09"" N","120°34'11"" W",185
WHITEMAN CREEK ABOVE BOULEAU CREEK,1971-2020,BC,08NM174,Flow and Level,"50°12'44"" N","119°32'19"" W",114
WHITESAIL MIDDLE CREEK NEAR TAHTSA REACH,1997-2021,BC,08JA029,Flow and Level,"53°39'45"" N","126°59'25"" W",7.72
WHITESAIL RIVER NEAR OOTSA LAKE,1930-1952,BC,08JA003,Flow,"53°38'20"" N","126°44'56"" W","1,010"
WILLOW RIVER ABOVE HAY CREEK,1976-2011,BC,08KD006,Flow and Level,"54°02'44"" N","122°22'23"" W","2,860"
WILLOW RIVER NEAR WILLOW RIVER,1953-1975,BC,08KD003,Flow,"54°04'07"" N","122°27'50"" W","3,110"
WINDERMERE CREEK NEAR WINDERMERE,1914-1979,BC,08NA024,Flow,"50°29'03"" N","115°56'02"" W",84.2
YAKOUN RIVER NEAR PORT CLEMENTS,1962-2021,BC,08OA002,Flow and Level,"53°36'50"" N","132°12'35"" W",480
YALAKOM RIVER ABOVE ORE CREEK,1983-2021,BC,08ME025,Flow and Level,"50°54'45"" N","122°14'21"" W",581
ZEBALLOS RIVER AT MOOK PEAK,1998-2022,BC,08HE008,Flow and Level,"50°08'08"" N","126°49'12"" W",14.6
ZYMAGOTITZ RIVER NEAR TERRACE,1960-1995,BC,08EG011,Flow,"54°31'07"" N","128°43'40"" W",376
ZYMOETZ RIVER ABOVE O.K. CREEK,1963-2021,BC,08EF005,Flow and Level,"54°29'37"" N","128°19'28"" W","2,850"
